order_id,booking_id,order_datetime,total_cost,delivery_method,screen_id,seat_id
1,1920,2025-01-26 18:12:07,22.68,QR,1,59209
2,4551,2025-02-21 01:03:53,21.94,QR,1,84401
3,1774,2025-03-02 17:35:05,20.14,Manual,4,771451
4,1895,2025-02-24 19:12:55,8.7,QR,1,138670
5,4908,2025-03-14 06:41:23,20.5,QR,2,349330
6,4162,2025-01-26 04:31:10,24.1,QR,3,462600
7,2605,2025-03-27 01:02:07,33.16,QR,1,47157
8,3973,2025-03-13 10:02:25,25.61,QR,4,786946
9,4999,2025-02-18 05:39:51,34.71,QR,1,118526
10,587,2025-02-11 17:57:50,9.94,QR,2,215008
11,2705,2025-02-19 23:28:52,33.98,QR,2,250215
12,3289,2025-03-10 05:23:43,27.74,QR,2,235298
13,2765,2025-02-17 18:59:24,12.92,QR,4,715447
14,2025,2025-01-22 16:08:47,22.37,Manual,3,522292
15,1943,2025-02-08 18:40:49,26.62,QR,4,685007
16,4783,2025-03-28 19:04:01,7.09,Manual,1,23016
17,2269,2025-02-23 18:04:13,4.66,Manual,3,432355
18,4827,2025-01-29 23:13:29,22.72,Manual,1,23201
19,2105,2025-02-26 00:48:57,23.07,QR,4,794770
20,1602,2025-03-09 05:16:36,31.41,Manual,1,111570
21,4186,2025-03-14 19:17:37,14.26,Manual,1,109357
22,3942,2025-03-05 12:01:06,7.09,QR,4,834554
23,3976,2025-03-01 10:51:28,32.08,Manual,3,496662
24,4482,2025-03-23 16:24:42,26.06,Manual,3,598593
25,1357,2025-03-07 22:10:40,18.04,QR,3,391631
26,3097,2025-03-15 19:13:39,29.21,Manual,4,694855
27,4581,2025-03-12 22:24:46,21.19,QR,3,489546
28,2950,2025-03-11 03:08:58,36.04,QR,2,156217
29,4518,2025-02-10 05:30:59,8.73,QR,2,343583
30,3057,2025-02-28 17:45:53,6.64,QR,2,271920
31,711,2025-03-23 07:56:00,51.78,Manual,2,236444
32,4619,2025-02-13 11:48:35,23.67,QR,2,337795
33,255,2025-03-01 19:41:00,18.02,QR,2,176059
34,4639,2025-02-19 11:22:09,15.96,QR,1,21385
35,93,2025-01-31 00:04:54,4.05,QR,1,110834
36,3448,2025-03-12 03:16:17,17.63,QR,2,240062
37,2226,2025-03-25 07:20:53,6.64,Manual,3,389852
38,2686,2025-02-04 19:28:08,34.41,QR,2,250105
39,1535,2025-03-24 08:16:27,10.21,Manual,2,203247
40,3145,2025-03-12 05:44:41,33.16,QR,2,295438
41,2258,2025-02-09 22:48:09,17.93,QR,4,778153
42,4816,2025-02-02 13:09:18,21.91,Manual,4,756755
43,4023,2025-03-21 07:11:55,8.7,Manual,2,175353
44,2545,2025-02-06 18:36:47,35.31,QR,4,630475
45,741,2025-02-05 23:02:41,41.89,QR,4,833160
46,3691,2025-02-28 07:59:18,30.57,QR,1,57809
47,1625,2025-02-11 12:16:26,9.34,QR,3,599132
48,897,2025-03-11 15:36:19,11.85,Manual,4,734728
49,1515,2025-02-24 01:58:57,22.15,Manual,1,80194
50,593,2025-02-07 02:44:09,27.87,Manual,2,273501
51,4782,2025-03-02 12:32:34,4.69,QR,1,16472
52,2510,2025-02-02 10:09:24,13.37,Manual,4,659277
53,1844,2025-02-12 23:32:49,32.06,Manual,1,30233
54,875,2025-02-26 01:54:07,17.71,QR,1,110401
55,646,2025-03-15 07:18:39,23.65,QR,1,82541
56,4877,2025-03-21 16:37:44,38.28,Manual,3,381218
57,982,2025-02-14 04:18:53,16.87,Manual,3,483902
58,4992,2025-02-11 16:20:49,30.5,Manual,2,183025
59,4952,2025-02-25 23:06:50,35.57,Manual,1,70546
60,2872,2025-03-09 22:54:17,20.31,Manual,1,111031
61,1820,2025-02-20 18:33:05,14.06,Manual,2,189653
62,3940,2025-03-11 06:01:12,31.47,Manual,4,728332
63,2797,2025-03-06 02:51:19,31.25,QR,1,62627
64,1210,2025-03-16 23:37:50,4.05,QR,3,473904
65,469,2025-03-07 04:03:04,8.4,Manual,4,608096
66,3704,2025-03-15 11:32:54,39.15,Manual,2,172193
67,1868,2025-03-24 04:56:41,24.1,QR,1,121107
68,4035,2025-02-16 08:41:43,8.1,QR,3,397301
69,197,2025-03-08 00:34:17,42.0,QR,2,334080
70,986,2025-02-08 04:54:03,14.32,Manual,4,751364
71,3120,2025-03-21 23:59:17,29.76,Manual,3,510218
72,4672,2025-02-07 10:40:00,24.71,Manual,2,268735
73,58,2025-03-21 14:21:21,17.1,Manual,3,373823
74,4140,2025-02-19 00:47:55,9.01,QR,1,83435
75,1321,2025-03-10 06:48:43,24.51,Manual,1,95836
76,26,2025-03-06 20:55:31,30.07,QR,1,149435
77,398,2025-02-19 13:36:37,14.01,QR,4,659156
78,4042,2025-02-24 10:13:12,14.18,Manual,1,34817
79,4966,2025-02-11 14:53:41,24.4,QR,2,201828
80,3805,2025-03-19 07:26:32,46.4,QR,4,621038
81,3711,2025-02-10 10:08:52,31.6,QR,3,354457
82,4438,2025-02-01 09:16:25,10.93,Manual,1,57425
83,3181,2025-02-17 13:44:38,16.52,Manual,3,505793
84,4214,2025-02-02 15:15:32,38.68,Manual,3,405167
85,3230,2025-02-02 14:47:13,29.23,Manual,4,838751
86,2224,2025-02-01 00:56:29,10.43,QR,1,92072
87,284,2025-02-21 23:54:00,16.08,Manual,3,437929
88,116,2025-02-20 06:17:11,23.94,QR,3,500703
89,3438,2025-02-15 15:30:53,21.54,Manual,1,136094
90,760,2025-02-04 17:30:35,28.1,QR,3,389107
91,4811,2025-02-20 15:48:10,37.95,QR,3,505047
92,4420,2025-03-24 01:54:42,8.1,QR,3,381618
93,3114,2025-02-28 01:07:15,6.57,QR,1,101556
94,827,2025-03-18 03:33:13,16.82,QR,1,42454
95,3515,2025-03-10 06:46:37,29.39,QR,2,184334
96,783,2025-02-24 10:10:14,13.92,QR,3,486553
97,375,2025-02-08 07:40:36,19.78,QR,4,766997
98,2170,2025-03-10 04:12:09,30.96,Manual,1,100451
99,1588,2025-02-01 23:25:27,4.35,Manual,2,231432
100,1899,2025-02-06 18:32:08,23.68,QR,4,622405
101,4682,2025-03-19 05:51:03,21.94,Manual,4,611512
102,2549,2025-03-05 15:36:38,8.17,Manual,1,144420
103,2256,2025-03-12 04:26:44,13.46,Manual,2,251876
104,4739,2025-03-10 23:08:26,6.57,Manual,4,677916
105,2457,2025-03-08 07:21:09,25.22,Manual,1,20268
106,4355,2025-02-21 10:33:40,20.25,QR,4,601638
107,1987,2025-03-22 08:30:53,18.58,Manual,2,157316
108,4600,2025-02-22 00:35:24,24.38,QR,1,20652
109,2233,2025-03-03 08:16:27,10.89,Manual,3,571473
110,2478,2025-02-24 12:09:24,32.51,Manual,1,114541
111,3941,2025-03-20 13:46:02,20.57,QR,2,279375
112,1648,2025-02-21 07:04:42,27.48,Manual,2,275080
113,3406,2025-02-18 16:05:52,17.94,QR,2,219311
114,1198,2025-03-26 06:23:13,28.84,Manual,3,365688
115,2890,2025-02-22 10:58:49,9.01,Manual,4,791479
116,3570,2025-02-23 20:47:31,31.64,Manual,3,404403
117,3034,2025-02-06 06:59:42,23.86,Manual,1,130114
118,13,2025-02-16 12:08:30,14.12,QR,4,733146
119,3969,2025-03-21 17:24:41,23.51,QR,3,504440
120,1419,2025-02-16 09:03:48,4.66,Manual,2,173800
121,1423,2025-03-13 07:23:16,13.14,QR,4,671128
122,4394,2025-03-27 04:44:15,15.43,QR,2,215309
123,2030,2025-03-20 14:39:37,13.06,Manual,1,137106
124,348,2025-02-23 06:20:25,15.35,Manual,3,429981
125,4818,2025-02-15 12:46:01,18.58,QR,1,130735
126,4341,2025-03-05 21:32:08,30.58,Manual,2,298933
127,1582,2025-03-10 06:34:14,10.26,Manual,1,67601
128,4002,2025-02-17 16:28:07,22.44,QR,1,81599
129,1592,2025-03-01 21:18:02,27.32,Manual,4,722312
130,3203,2025-03-16 19:26:34,20.85,QR,2,349076
131,832,2025-03-29 13:18:00,23.55,Manual,3,522773
132,111,2025-03-04 21:30:43,19.01,Manual,4,646349
133,819,2025-03-18 21:54:46,4.69,QR,3,428086
134,1129,2025-03-05 10:55:31,9.34,QR,3,477032
135,184,2025-02-06 17:08:44,12.88,QR,1,84983
136,1986,2025-02-02 20:54:06,28.29,Manual,3,550438
137,372,2025-03-16 13:47:10,18.58,QR,3,439357
138,3125,2025-03-12 18:56:37,39.87,QR,3,439875
139,1589,2025-02-12 21:59:28,12.06,QR,3,446648
140,2737,2025-02-17 14:34:20,32.34,Manual,4,678025
141,4836,2025-02-01 07:25:59,4.97,QR,2,312417
142,704,2025-02-26 20:59:37,32.04,Manual,4,666505
143,2784,2025-02-11 15:14:13,30.52,Manual,2,224541
144,4584,2025-03-18 11:41:19,38.86,QR,2,342294
145,1639,2025-02-21 08:10:31,25.99,Manual,3,575302
146,2937,2025-03-17 18:38:15,27.3,QR,4,766258
147,508,2025-01-30 11:31:31,17.46,Manual,2,340693
148,3643,2025-02-07 14:55:19,27.01,Manual,1,84895
149,915,2025-02-25 04:23:24,21.11,Manual,1,108151
150,1145,2025-02-01 00:18:38,6.57,Manual,1,7015
151,4473,2025-03-12 00:57:59,34.49,QR,4,619553
152,4301,2025-03-13 09:44:39,23.19,QR,2,177099
153,4090,2025-03-13 00:06:06,39.09,Manual,1,74384
154,1067,2025-02-27 02:59:49,19.46,Manual,4,791336
155,4523,2025-02-13 08:41:24,4.67,QR,2,301197
156,2832,2025-02-15 14:39:15,16.58,Manual,4,725891
157,1310,2025-03-08 02:03:34,32.47,QR,4,831557
158,1925,2025-03-21 04:19:40,21.02,QR,4,617503
159,2795,2025-02-08 15:25:25,7.03,QR,1,149653
160,1758,2025-02-05 12:42:03,19.4,QR,2,290677
161,661,2025-03-09 12:44:46,39.48,QR,2,346499
162,1806,2025-02-05 19:58:26,31.22,QR,2,187806
163,1045,2025-01-29 13:39:07,28.61,Manual,1,99461
164,3724,2025-03-21 06:43:30,9.34,Manual,3,489264
165,4735,2025-02-17 14:06:49,6.64,Manual,4,639882
166,3961,2025-03-06 03:54:07,13.38,QR,2,180122
167,886,2025-03-01 15:45:38,21.35,QR,1,144387
168,896,2025-02-16 15:36:59,14.74,Manual,3,588750
169,1705,2025-02-26 13:01:48,11.35,QR,2,312079
170,713,2025-01-23 10:59:57,16.08,QR,4,713282
171,4428,2025-03-13 03:53:45,9.29,QR,3,489871
172,3695,2025-03-20 03:21:28,36.14,Manual,4,808674
173,3730,2025-02-25 00:43:51,49.65,QR,1,21495
174,4405,2025-02-22 12:17:56,20.8,QR,3,388818
175,792,2025-03-25 09:32:24,16.34,Manual,4,755360
176,1441,2025-03-30 01:53:26,14.62,Manual,3,528060
177,1993,2025-03-13 02:19:34,7.03,QR,4,831616
178,1382,2025-02-03 00:36:13,14.18,QR,3,410801
179,3210,2025-03-31 21:38:09,29.91,QR,4,793918
180,3584,2025-03-04 18:43:32,27.79,QR,4,624507
181,3582,2025-02-17 10:55:43,11.03,QR,2,245829
182,29,2025-02-17 13:13:21,12.13,QR,2,288141
183,3226,2025-02-28 11:38:24,21.99,QR,2,214573
184,3395,2025-02-02 20:14:29,40.73,Manual,3,400032
185,6,2025-03-03 06:03:28,28.51,QR,3,438336
186,3016,2025-02-15 08:15:17,18.02,QR,1,58002
187,2109,2025-02-16 15:29:16,16.34,QR,2,221384
188,1380,2025-03-09 22:42:39,29.38,Manual,3,461238
189,2986,2025-03-25 23:28:40,31.73,QR,3,392280
190,3381,2025-02-18 09:10:51,13.96,Manual,1,48953
191,2884,2025-03-09 13:58:21,9.38,QR,2,261379
192,4840,2025-03-10 23:33:38,16.87,Manual,2,232907
193,2209,2025-03-19 01:03:09,9.34,Manual,1,20380
194,2781,2025-03-04 21:11:29,24.55,Manual,2,264259
195,88,2025-03-23 08:55:21,28.88,Manual,3,549152
196,2821,2025-03-13 03:48:32,39.75,Manual,1,10734
197,4412,2025-02-02 12:01:57,34.47,Manual,3,567270
198,974,2025-02-17 16:19:39,29.62,Manual,2,193969
199,329,2025-03-06 05:23:35,14.41,Manual,4,642655
200,4536,2025-03-14 13:09:08,10.38,Manual,1,148329
201,2303,2025-03-08 20:33:40,21.18,Manual,4,695135
202,2783,2025-02-07 19:21:27,20.37,QR,4,687471
203,459,2025-03-05 04:58:25,8.73,QR,3,504974
204,3339,2025-03-13 06:46:41,11.85,Manual,2,343729
205,460,2025-03-03 16:00:55,20.38,QR,1,131936
206,2842,2025-03-09 23:03:08,17.46,Manual,4,833285
207,3523,2025-02-07 18:43:23,14.68,Manual,1,18956
208,1207,2025-03-14 10:22:05,28.02,Manual,2,297872
209,523,2025-03-17 06:40:06,31.78,QR,3,574222
210,1807,2025-02-23 08:12:32,27.89,QR,2,342083
211,4734,2025-02-09 19:41:48,8.7,Manual,4,825550
212,4709,2025-02-13 17:37:47,18.35,QR,4,838687
213,4111,2025-03-07 13:05:48,20.77,QR,2,312186
214,2485,2025-03-07 19:05:04,26.9,QR,3,403875
215,3126,2025-03-02 09:12:34,29.06,QR,4,664404
216,999,2025-03-30 08:54:35,12.84,Manual,1,88856
217,779,2025-02-27 11:20:09,19.45,Manual,1,11183
218,1629,2025-01-31 12:40:18,24.68,QR,4,735825
219,1577,2025-02-28 08:03:22,29.54,QR,4,657145
220,4919,2025-03-16 18:29:22,7.03,QR,2,252434
221,3544,2025-02-22 18:59:49,28.61,Manual,3,417497
222,2203,2025-02-21 06:25:14,19.53,Manual,2,309295
223,454,2025-03-08 03:22:48,9.38,Manual,1,125860
224,3573,2025-01-25 21:59:01,18.25,QR,4,840681
225,603,2025-03-22 00:01:34,10.7,QR,2,291201
226,1457,2025-02-07 21:07:12,14.18,Manual,4,711027
227,3987,2025-02-11 09:41:53,7.31,QR,4,780991
228,4025,2025-02-23 13:26:48,15.04,QR,4,646816
229,4491,2025-02-06 13:27:23,26.22,QR,2,274753
230,4521,2025-02-14 03:30:33,8.1,Manual,2,261988
231,4863,2025-03-04 00:09:33,28.94,QR,3,515221
232,3418,2025-02-15 07:53:52,18.85,Manual,3,577274
233,736,2025-03-22 09:02:16,19.01,QR,4,741325
234,4362,2025-03-12 20:13:48,11.35,QR,2,206358
235,4316,2025-02-19 16:29:46,7.09,Manual,2,239869
236,2148,2025-02-26 22:40:18,26.45,QR,2,231150
237,3280,2025-02-15 16:29:29,8.7,Manual,3,520390
238,977,2025-03-12 21:29:55,25.65,QR,3,420086
239,202,2025-02-22 23:32:41,7.16,Manual,1,39480
240,2550,2025-03-08 18:54:09,8.26,Manual,1,136779
241,4944,2025-02-16 01:55:32,20.99,Manual,3,595207
242,3359,2025-03-20 09:12:05,25.49,QR,3,526902
243,2147,2025-04-01 04:16:23,20.87,QR,1,5839
244,3532,2025-03-02 15:39:01,21.4,Manual,3,562149
245,4878,2025-03-03 03:47:13,13.21,QR,4,793107
246,287,2025-02-18 14:58:29,22.35,Manual,4,629814
247,450,2025-02-01 17:03:17,8.04,Manual,4,831369
248,107,2025-03-18 18:27:47,15.29,QR,4,653587
249,2390,2025-02-03 18:10:58,26.68,QR,1,49466
250,4165,2025-02-02 22:20:47,10.11,Manual,3,456079
251,677,2025-02-14 18:21:24,29.29,Manual,1,118457
252,1967,2025-03-11 02:56:09,41.08,QR,1,136736
253,1050,2025-03-11 08:33:29,23.54,Manual,1,132917
254,4155,2025-02-10 14:03:17,11.37,QR,1,58032
255,1756,2025-03-06 17:35:09,8.26,Manual,1,1771
256,3473,2025-02-05 10:41:03,14.06,Manual,3,400734
257,4699,2025-03-15 07:25:35,33.84,Manual,1,39005
258,3051,2025-02-06 22:26:26,24.11,Manual,2,154116
259,4511,2025-03-02 13:21:42,32.41,Manual,4,636251
260,4506,2025-02-27 21:39:27,14.47,Manual,1,149716
261,3636,2025-03-07 19:04:52,18.95,QR,1,114352
262,4578,2025-02-19 04:21:16,18.39,Manual,1,137687
263,1133,2025-03-09 00:37:14,19.02,QR,4,785999
264,1966,2025-02-05 01:24:48,19.82,Manual,4,787719
265,4160,2025-03-13 00:48:24,4.67,Manual,1,103028
266,1035,2025-03-21 23:36:45,16.04,QR,3,489935
267,192,2025-02-07 23:40:06,16.52,QR,2,260992
268,4439,2025-02-10 13:20:52,18.62,Manual,4,755929
269,395,2025-02-13 10:59:20,14.06,Manual,2,281821
270,1710,2025-02-18 22:36:30,33.2,QR,4,627925
271,4241,2025-02-06 00:01:56,4.97,QR,1,33671
272,2324,2025-02-14 09:32:29,36.06,Manual,2,151029
273,3061,2025-03-16 14:02:10,24.49,Manual,3,439263
274,1406,2025-03-18 00:31:28,9.63,QR,1,28590
275,92,2025-03-09 21:36:54,9.36,Manual,3,472987
276,4704,2025-02-14 08:11:16,23.64,QR,1,70932
277,387,2025-01-29 05:19:50,27.04,Manual,1,69084
278,18,2025-02-26 05:25:27,16.37,QR,4,799184
279,4305,2025-03-23 12:00:40,38.2,Manual,1,60555
280,1586,2025-03-25 02:40:45,4.69,Manual,3,483742
281,2051,2025-03-19 09:46:15,28.06,Manual,3,583680
282,2436,2025-03-08 07:33:41,23.4,Manual,1,38586
283,4258,2025-02-22 21:58:40,19.46,Manual,2,213432
284,3067,2025-03-29 20:33:20,8.7,QR,3,394171
285,3763,2025-03-05 04:16:49,45.33,QR,2,180745
286,3804,2025-02-02 02:17:54,17.48,QR,3,515788
287,1151,2025-02-01 10:31:57,14.4,Manual,4,651332
288,4303,2025-01-30 09:13:36,36.02,Manual,1,86124
289,3712,2025-02-05 23:45:01,22.22,QR,4,700966
290,2548,2025-02-25 18:27:39,27.4,QR,3,475300
291,2698,2025-03-17 00:18:15,7.03,Manual,3,491539
292,4269,2025-02-10 14:23:38,22.26,Manual,2,211497
293,937,2025-01-29 09:20:55,38.6,QR,4,684866
294,1016,2025-02-25 22:10:08,21.09,Manual,2,173095
295,221,2025-02-16 06:08:29,13.07,QR,1,56081
296,3552,2025-02-13 12:15:54,33.39,QR,1,110832
297,1378,2025-02-06 02:44:15,36.53,QR,2,305421
298,3138,2025-02-03 12:30:26,15.36,QR,2,154099
299,1020,2025-02-18 04:05:26,9.29,Manual,3,457043
300,1093,2025-04-02 12:07:00,17.04,Manual,3,522859
301,1300,2025-02-03 05:13:23,29.95,QR,3,488945
302,4049,2025-03-03 05:29:57,25.89,Manual,3,503518
303,4485,2025-03-23 13:33:36,22.1,QR,2,330500
304,1434,2025-03-04 03:06:57,15.97,Manual,4,813589
305,4005,2025-02-17 01:51:22,25.63,Manual,2,264135
306,4453,2025-02-15 07:18:37,7.03,QR,3,538496
307,4179,2025-02-28 14:42:16,13.7,Manual,1,14578
308,4400,2025-03-16 03:54:42,17.46,Manual,3,574973
309,3326,2025-03-09 01:38:40,38.09,QR,2,151861
310,4185,2025-03-31 20:44:30,28.02,QR,3,489300
311,1245,2025-03-28 06:28:09,41.78,QR,2,322721
312,4567,2025-01-27 12:01:03,22.09,QR,1,94049
313,4664,2025-03-28 10:44:09,6.64,QR,1,105249
314,3930,2025-03-24 06:53:14,31.73,Manual,2,249603
315,1233,2025-02-03 08:42:37,39.76,Manual,1,111764
316,4237,2025-02-24 14:04:35,25.24,QR,3,445456
317,1706,2025-02-10 06:19:23,13.92,Manual,3,378922
318,2325,2025-02-23 02:45:26,24.62,QR,3,529961
319,497,2025-03-13 11:48:44,9.38,Manual,2,325197
320,3553,2025-03-06 10:06:46,8.1,QR,2,346416
321,2595,2025-02-15 10:06:49,10.26,QR,4,791449
322,4773,2025-02-06 16:26:25,14.9,Manual,4,731029
323,3591,2025-03-26 20:08:28,21.21,QR,3,561182
324,2400,2025-02-15 21:58:17,9.01,QR,2,310646
325,3237,2025-03-14 09:31:46,37.01,QR,3,380836
326,2169,2025-02-18 18:03:44,18.58,QR,2,193725
327,143,2025-03-01 00:25:58,4.35,QR,4,768910
328,2596,2025-02-13 05:21:18,32.0,QR,4,802185
329,4566,2025-01-29 00:13:13,16.41,Manual,1,142942
330,3898,2025-02-11 23:24:57,38.5,QR,3,414394
331,4720,2025-02-25 12:39:48,4.05,Manual,3,594444
332,4976,2025-02-13 03:45:01,21.57,Manual,4,846395
333,2489,2025-02-12 16:48:14,38.16,QR,3,444499
334,4879,2025-02-10 23:59:58,49.66,QR,4,642114
335,3420,2025-03-22 03:15:38,16.39,Manual,2,284003
336,994,2025-02-24 00:08:33,28.19,Manual,3,403178
337,4883,2025-03-05 12:35:18,10.62,Manual,3,367596
338,2637,2025-02-13 05:58:10,24.58,QR,2,236606
339,4209,2025-03-01 05:51:28,26.8,QR,3,496578
340,1494,2025-03-07 11:08:34,23.64,Manual,2,165854
341,1731,2025-03-02 06:21:22,7.03,Manual,4,657017
342,1012,2025-03-22 06:49:01,27.47,QR,1,23074
343,2339,2025-03-12 23:29:33,22.29,Manual,1,58238
344,1495,2025-02-16 22:12:09,25.18,Manual,3,378311
345,2230,2025-02-07 04:22:56,4.66,Manual,2,152804
346,2814,2025-02-17 14:12:56,16.52,QR,3,388831
347,243,2025-01-28 06:48:56,30.56,QR,3,498298
348,759,2025-02-13 00:23:59,40.96,Manual,2,340984
349,4314,2025-01-30 10:02:47,13.29,Manual,2,217067
350,2463,2025-03-03 11:05:53,10.42,QR,1,16916
351,3951,2025-02-01 23:01:02,40.03,Manual,2,253261
352,1138,2025-01-31 17:19:50,9.01,Manual,1,69140
353,535,2025-02-13 02:49:50,20.21,QR,4,603546
354,480,2025-02-12 17:44:43,21.31,Manual,4,704788
355,4307,2025-03-07 02:52:28,17.46,Manual,2,318385
356,3356,2025-02-25 03:22:38,16.36,QR,1,97093
