ticket_id,booking_id,show_seat_id,qr_code,delivery_method,is_downloaded,scanned_at
1,1,356887,TICKET-1-7374,WhatsApp,False,2025-03-14 08:41:49
2,2,391034,TICKET-2-1426,App,False,
3,2,391035,TICKET-3-1943,App,False,2025-02-26 12:15:05
4,2,391178,TICKET-4-7905,WhatsApp,False,
5,2,391242,TICKET-5-1257,WhatsApp,False,
6,3,810168,TICKET-6-4915,WhatsApp,True,2025-02-06 04:53:05
7,3,810142,TICKET-7-8201,WhatsApp,False,2025-02-06 04:53:05
8,3,810121,TICKET-8-5076,WhatsApp,False,2025-02-06 04:53:05
9,3,810001,TICKET-9-3760,WhatsApp,False,
10,3,810212,TICKET-10-9553,App,False,
11,4,389826,TICKET-11-2531,WhatsApp,False,
12,4,389909,TICKET-12-7174,App,False,2025-04-03 20:08:53
13,5,25925,TICKET-13-8989,WhatsApp,False,
14,5,25928,TICKET-14-9704,WhatsApp,False,2025-02-22 03:42:36
15,5,25912,TICKET-15-7633,App,False,2025-02-22 03:42:36
16,5,25908,TICKET-16-1697,WhatsApp,True,
17,6,438336,TICKET-17-6169,App,False,2025-03-11 14:42:28
18,6,438465,TICKET-18-9692,WhatsApp,False,2025-03-11 14:42:28
19,7,320921,TICKET-19-9116,WhatsApp,True,
20,7,320954,TICKET-20-8988,App,False,2025-03-17 16:33:48
21,8,360145,TICKET-21-4127,App,True,
22,8,360126,TICKET-22-3567,App,True,2025-02-14 07:53:59
23,8,360152,TICKET-23-3987,WhatsApp,True,2025-02-14 07:53:59
24,8,360089,TICKET-24-2085,WhatsApp,False,
25,8,360066,TICKET-25-8004,App,False,2025-02-14 07:53:59
26,9,17863,TICKET-26-3432,WhatsApp,True,
27,9,17933,TICKET-27-7225,App,True,
28,10,76455,TICKET-28-2105,App,True,2025-03-30 04:11:15
29,10,76413,TICKET-29-9311,WhatsApp,False,2025-03-30 04:11:15
30,11,376598,TICKET-30-9215,App,False,
31,11,376584,TICKET-31-6737,WhatsApp,False,2025-04-01 00:24:24
32,11,376661,TICKET-32-2831,App,True,2025-04-01 00:24:24
33,12,817178,TICKET-33-4528,WhatsApp,True,2025-02-27 11:25:35
34,12,817062,TICKET-34-2003,App,False,2025-02-27 11:25:35
35,12,817110,TICKET-35-5451,App,True,2025-02-27 11:25:35
36,12,817149,TICKET-36-6894,App,True,2025-02-27 11:25:35
37,13,733170,TICKET-37-5756,App,False,2025-02-18 04:03:30
38,13,733198,TICKET-38-2347,WhatsApp,False,2025-02-18 04:03:30
39,13,733146,TICKET-39-9795,App,True,2025-02-18 04:03:30
40,13,733063,TICKET-40-8551,App,False,2025-02-18 04:03:30
41,13,733223,TICKET-41-7218,App,False,2025-02-18 04:03:30
42,14,634460,TICKET-42-8281,App,True,2025-03-30 23:36:56
43,15,622097,TICKET-43-1590,App,False,2025-02-08 07:06:35
44,15,622066,TICKET-44-1956,App,False,
45,15,622016,TICKET-45-6468,WhatsApp,False,
46,15,622037,TICKET-46-4601,App,True,2025-02-08 07:06:35
47,15,622074,TICKET-47-4850,WhatsApp,True,
48,16,379364,TICKET-48-7333,App,True,2025-02-07 06:36:30
49,16,379320,TICKET-49-8342,App,True,2025-02-07 06:36:30
50,16,379300,TICKET-50-7362,WhatsApp,False,2025-02-07 06:36:30
51,17,506824,TICKET-51-7083,WhatsApp,True,2025-03-14 16:29:54
52,17,506890,TICKET-52-2585,WhatsApp,True,
53,18,799066,TICKET-53-6600,WhatsApp,False,2025-03-01 19:08:27
54,18,799034,TICKET-54-8750,App,True,
55,18,799184,TICKET-55-1448,WhatsApp,False,2025-03-01 19:08:27
56,18,799236,TICKET-56-8024,WhatsApp,False,2025-03-01 19:08:27
57,18,799147,TICKET-57-1873,App,False,
58,19,706756,TICKET-58-6032,App,True,
59,20,708421,TICKET-59-8209,WhatsApp,False,2025-03-18 11:47:18
60,20,708327,TICKET-60-3370,App,True,2025-03-18 11:47:18
61,20,708324,TICKET-61-2360,App,True,2025-03-18 11:47:18
62,21,668482,TICKET-62-9816,App,True,2025-03-31 17:50:47
63,21,668449,TICKET-63-6470,App,True,2025-03-31 17:50:47
64,22,134510,TICKET-64-6809,App,True,2025-03-29 23:17:11
65,22,134538,TICKET-65-4651,App,False,2025-03-29 23:17:11
66,22,134520,TICKET-66-5932,WhatsApp,False,2025-03-29 23:17:11
67,22,134424,TICKET-67-2021,WhatsApp,False,2025-03-29 23:17:11
68,22,134457,TICKET-68-3845,WhatsApp,False,2025-03-29 23:17:11
69,23,543410,TICKET-69-4980,App,False,2025-03-24 03:52:35
70,23,543393,TICKET-70-4575,App,False,2025-03-24 03:52:35
71,23,543325,TICKET-71-6854,App,False,2025-03-24 03:52:35
72,24,345504,TICKET-72-7057,App,False,2025-02-07 18:08:12
73,24,345458,TICKET-73-2706,WhatsApp,True,2025-02-07 18:08:12
74,24,345489,TICKET-74-7640,App,False,2025-02-07 18:08:12
75,24,345430,TICKET-75-2091,App,True,2025-02-07 18:08:12
76,24,345567,TICKET-76-8604,WhatsApp,False,2025-02-07 18:08:12
77,25,338582,TICKET-77-7487,App,True,
78,25,338451,TICKET-78-3341,WhatsApp,False,
79,25,338458,TICKET-79-5312,App,False,
80,25,338420,TICKET-80-3261,App,True,2025-03-08 22:08:05
81,25,338490,TICKET-81-7106,App,False,2025-03-08 22:08:05
82,26,149494,TICKET-82-2620,App,True,2025-03-12 01:45:31
83,26,149435,TICKET-83-4904,WhatsApp,True,
84,26,149438,TICKET-84-1747,WhatsApp,False,2025-03-12 01:45:31
85,26,149533,TICKET-85-9388,WhatsApp,False,
86,26,149522,TICKET-86-9953,App,False,2025-03-12 01:45:31
87,27,103736,TICKET-87-3578,App,True,2025-02-13 09:08:53
88,27,103679,TICKET-88-8321,App,False,2025-02-13 09:08:53
89,27,103656,TICKET-89-9281,App,True,2025-02-13 09:08:53
90,28,461787,TICKET-90-2289,WhatsApp,True,2025-03-31 18:34:42
91,28,461936,TICKET-91-5344,WhatsApp,False,2025-03-31 18:34:42
92,28,461797,TICKET-92-5911,App,False,2025-03-31 18:34:42
93,29,288063,TICKET-93-9734,WhatsApp,False,2025-02-23 22:46:21
94,29,288053,TICKET-94-3441,App,True,2025-02-23 22:46:21
95,29,288132,TICKET-95-8255,App,False,2025-02-23 22:46:21
96,29,288141,TICKET-96-6315,WhatsApp,False,2025-02-23 22:46:21
97,30,484855,TICKET-97-9178,App,False,
98,31,182158,TICKET-98-1834,WhatsApp,False,
99,31,182197,TICKET-99-7772,WhatsApp,False,2025-03-28 11:22:40
100,32,73267,TICKET-100-6414,App,True,2025-02-10 17:09:59
101,33,828938,TICKET-101-3342,App,False,2025-04-04 12:30:35
102,33,828855,TICKET-102-3811,WhatsApp,False,2025-04-04 12:30:35
103,33,828923,TICKET-103-8793,App,False,2025-04-04 12:30:35
104,33,828769,TICKET-104-9363,App,True,2025-04-04 12:30:35
105,33,828969,TICKET-105-6489,WhatsApp,False,2025-04-04 12:30:35
106,34,567818,TICKET-106-4020,WhatsApp,False,2025-04-05 11:09:09
107,34,567902,TICKET-107-7196,App,False,2025-04-05 11:09:09
108,35,299160,TICKET-108-7716,WhatsApp,True,2025-02-10 06:34:41
109,35,299116,TICKET-109-3942,App,True,2025-02-10 06:34:41
110,35,299007,TICKET-110-8238,App,True,
111,35,299143,TICKET-111-4153,WhatsApp,True,2025-02-10 06:34:41
112,35,299014,TICKET-112-2093,App,False,2025-02-10 06:34:41
113,36,352725,TICKET-113-9289,WhatsApp,False,
114,36,352657,TICKET-114-2349,WhatsApp,False,2025-02-13 09:20:26
115,36,352675,TICKET-115-9309,App,False,
