booking_id,user_id,show_id,booking_datetime,total_cost
1,4356,2028,2025-03-11 11:41:49,1000
2,3225,2165,2025-02-13 02:15:05,839
3,630,3841,2025-01-24 12:53:05,1140
4,548,2160,2025-03-24 21:08:53,800
5,2905,173,2025-02-17 06:42:36,200
6,3247,2354,2025-03-03 05:42:28,699
7,2358,1855,2025-03-14 03:33:48,1000
8,1743,2041,2025-01-30 08:53:59,800
9,4388,120,2025-03-17 06:01:33,1488
10,2011,510,2025-03-15 16:11:15,600
11,1854,2107,2025-03-24 04:24:24,636
12,2347,3869,2025-02-19 23:25:35,818
13,1102,3533,2025-02-16 12:03:30,898
14,4460,3138,2025-03-17 02:36:56,810
15,417,3089,2025-02-03 10:06:35,503
16,1588,2118,2025-01-27 21:36:30,400
17,2795,2628,2025-03-10 20:29:54,683
18,2081,3797,2025-02-26 05:08:27,1202
19,606,3428,2025-03-12 22:38:16,986
20,254,3434,2025-03-17 10:47:18,200
21,1414,3274,2025-03-19 12:50:47,400
22,2395,897,2025-03-15 20:17:11,328
23,4793,2774,2025-03-15 11:52:35,600
24,805,1978,2025-02-04 05:08:12,200
25,919,1943,2025-03-04 21:08:05,595
26,2698,997,2025-03-06 20:45:31,986
27,526,692,2025-02-09 23:08:53,400
28,3363,2448,2025-03-27 14:34:42,200
29,3187,1691,2025-02-17 12:46:21,515
30,2369,2540,2025-02-17 11:13:47,200
31,1771,1161,2025-03-24 15:22:40,811
32,966,489,2025-01-31 23:09:59,400
33,3935,3916,2025-03-26 09:30:35,1069
34,4214,2872,2025-03-29 07:09:09,200
35,1506,1746,2025-02-02 23:34:41,800
36,4977,2011,2025-02-06 18:20:26,400
37,2876,298,2025-01-30 18:21:49,701
38,2288,2981,2025-02-16 06:29:32,1245
39,203,1671,2025-03-18 20:11:38,600
40,184,3597,2025-02-11 09:20:36,333
41,1458,493,2025-03-15 04:52:05,1086
42,2825,2576,2025-02-19 22:08:53,800
43,2523,1911,2025-02-25 09:22:22,200
44,2444,1007,2025-02-14 01:30:07,455
45,727,3947,2025-02-15 13:35:07,800
46,4695,1067,2025-03-30 13:54:30,1193
47,2399,2250,2025-01-31 18:21:08,800
48,1612,636,2025-02-08 01:49:38,600
49,3661,2229,2025-03-21 03:22:54,400
50,4956,2876,2025-03-19 15:19:05,727
51,2675,371,2025-04-02 14:16:33,654
52,1469,3322,2025-03-27 09:57:02,536
53,4723,383,2025-02-04 13:09:25,1099
54,3278,3290,2025-01-26 17:18:18,599
55,4878,3347,2025-03-17 04:43:27,1186
56,3341,2636,2025-02-15 03:10:29,944
57,1467,3881,2025-02-14 19:06:43,1000
58,2348,2096,2025-03-21 14:01:21,413
59,871,2456,2025-02-01 03:54:08,783
60,2516,770,2025-01-24 12:50:17,1096
61,1180,377,2025-02-24 14:45:50,1404
62,747,1479,2025-03-28 00:34:08,415
63,338,2003,2025-02-08 01:13:59,1091
64,429,3236,2025-02-09 04:42:15,600
65,1266,160,2025-02-20 04:21:10,395
66,572,3391,2025-02-11 11:18:52,200
67,3704,3471,2025-02-06 17:42:47,750
68,3299,3643,2025-03-27 11:25:13,908
69,1093,628,2025-02-15 01:29:32,1064
70,3606,987,2025-02-06 12:42:58,400
71,2781,2320,2025-02-27 07:12:25,1197
72,828,2180,2025-03-27 07:44:00,400
73,3857,3471,2025-02-01 22:42:47,545
74,4336,3131,2025-02-14 16:48:09,363
75,2209,3959,2025-02-17 10:57:51,873
76,4348,2526,2025-03-01 07:33:13,400
77,580,829,2025-01-29 05:18:22,558
78,4772,1423,2025-02-12 08:17:22,1000
79,545,2830,2025-02-03 10:56:38,601
80,1589,420,2025-03-06 20:31:06,540
81,3392,156,2025-03-07 09:14:44,721
82,800,3984,2025-02-08 20:47:33,928
83,1164,2785,2025-03-17 08:22:29,1246
84,1543,2409,2025-03-16 21:34:14,981
85,1030,3137,2025-03-02 13:19:13,716
86,2493,1740,2025-03-16 07:06:05,1000
87,1973,3159,2025-02-17 15:31:08,1179
88,1232,2797,2025-03-23 08:28:21,200
89,4703,2415,2025-02-27 03:41:40,1193
90,2555,1781,2025-03-18 03:24:39,632
91,2968,1913,2025-03-14 19:30:34,800
92,2540,2492,2025-03-09 21:10:54,800
93,3349,739,2025-01-31 00:00:54,400
94,553,3193,2025-03-10 02:58:02,935
95,2987,141,2025-03-22 07:22:25,413
96,4403,1856,2025-03-04 02:49:15,1000
97,833,2872,2025-04-05 04:09:09,1250
98,2960,114,2025-02-14 16:05:00,800
99,1615,2785,2025-03-18 00:22:29,600
100,1422,1280,2025-02-07 17:24:52,1116
101,2457,1678,2025-03-14 18:19:07,400
102,4759,2217,2025-02-07 01:45:53,600
103,1036,3741,2025-02-10 05:54:48,855
104,1854,1590,2025-03-03 14:24:58,400
105,3422,3348,2025-02-17 18:19:23,1000
106,2494,1576,2025-02-01 07:24:28,1315
107,3528,3215,2025-03-18 18:14:47,1087
108,1810,2782,2025-03-23 03:49:45,351
109,2235,1958,2025-02-18 10:22:33,754
110,2297,1714,2025-03-22 10:39:03,800
111,2666,3186,2025-03-04 21:06:43,703
112,765,1356,2025-02-10 03:37:50,388
113,2863,1224,2025-02-15 01:51:18,400
114,1608,1343,2025-02-17 15:56:39,878
115,1105,414,2025-02-22 21:02:21,1000
116,1048,2603,2025-02-20 06:11:11,600
117,1504,3949,2025-04-01 21:58:14,1161
118,4856,1713,2025-03-22 14:10:07,600
119,1015,3269,2025-02-15 01:32:55,771
120,2313,1425,2025-03-24 12:33:55,331
121,926,3688,2025-03-01 00:59:41,888
122,3924,865,2025-03-11 04:03:20,400
123,1993,1342,2025-02-15 22:48:58,737
124,2686,2001,2025-03-25 22:49:02,1212
125,2339,393,2025-03-16 21:13:57,1273
126,1612,123,2025-02-04 08:57:19,600
127,3540,630,2025-03-07 00:56:42,1000
128,4519,2936,2025-03-02 00:42:29,600
129,2419,2606,2025-04-03 22:55:11,1097
130,477,2452,2025-02-04 07:57:35,200
131,670,2546,2025-01-29 23:02:03,696
132,545,3538,2025-02-13 14:16:16,1378
133,715,1117,2025-03-10 22:32:52,1462
134,1908,551,2025-03-06 17:59:39,1000
135,1270,3511,2025-03-25 04:16:22,618
136,3426,3542,2025-01-26 20:56:10,1115
137,3954,3270,2025-02-20 02:15:56,1150
138,721,147,2025-03-18 13:04:30,943
139,2606,2296,2025-03-05 13:53:59,200
140,3773,1538,2025-02-02 07:41:13,1000
141,4149,672,2025-03-11 10:47:02,586
