transaction_id,user_id,amount,points_earned,transaction_datetime,transaction_type
1,1,0,500,2024-08-07 02:31:08,Signup Bonus
2,1,344,688,2024-09-01 08:42:04,Earned
3,1,1381,2762,2024-03-18 17:09:42,Earned
4,1,860,1720,2024-03-14 07:03:14,Earned
5,1,108,0,2024-07-24 01:58:17,Redeemed
6,1,458,916,2024-05-12 18:03:55,Earned
7,2,0,500,2024-05-16 20:36:24,Signup Bonus
8,2,436,872,2025-01-23 18:10:18,Earned
9,2,1156,2312,2024-06-24 19:13:40,Earned
10,3,0,500,2024-07-04 01:45:36,Signup Bonus
11,3,241,0,2024-09-14 03:17:49,Redeemed
12,3,197,0,2025-02-23 13:57:28,Redeemed
13,3,305,0,2024-08-19 14:59:28,Redeemed
14,3,300,600,2024-08-28 05:10:45,Earned
15,4,0,500,2024-04-17 13:22:32,Signup Bonus
16,4,189,0,2024-07-29 19:38:16,Redeemed
17,5,0,500,2024-09-19 09:30:54,Signup Bonus
18,5,404,0,2024-04-19 00:47:11,Redeemed
19,5,482,0,2024-12-28 14:46:02,Redeemed
20,5,367,0,2024-07-12 14:18:51,Redeemed
21,5,361,0,2024-07-13 12:20:55,Redeemed
22,6,0,500,2024-06-26 18:59:30,Signup Bonus
23,6,213,0,2024-03-06 22:33:44,Redeemed
24,6,533,1066,2024-12-09 08:58:47,Earned
25,6,1867,3734,2024-12-27 09:45:04,Earned
26,6,2000,4000,2024-11-19 16:51:04,Earned
27,7,0,500,2024-06-09 16:52:12,Signup Bonus
28,7,704,1408,2025-02-13 05:15:40,Earned
29,8,0,500,2024-12-23 14:56:45,Signup Bonus
30,8,904,1808,2024-04-10 17:30:23,Earned
31,8,338,0,2024-03-27 20:32:51,Redeemed
32,8,1407,2814,2025-01-11 17:25:21,Earned
33,8,1884,3768,2024-11-10 09:57:46,Earned
34,9,0,500,2025-01-17 18:19:12,Signup Bonus
35,9,107,214,2024-08-06 17:50:06,Earned
36,9,100,0,2024-12-16 12:57:52,Redeemed
37,9,413,0,2024-04-21 16:14:14,Redeemed
38,10,0,500,2024-12-26 04:55:27,Signup Bonus
39,10,341,0,2024-05-29 15:02:20,Redeemed
40,10,459,0,2024-12-17 10:27:00,Redeemed
41,11,0,500,2024-05-02 17:41:43,Signup Bonus
42,11,1736,3472,2025-02-09 01:16:37,Earned
43,12,0,500,2025-01-18 00:47:58,Signup Bonus
44,12,491,0,2024-10-04 03:21:42,Redeemed
45,12,943,1886,2024-12-06 06:14:07,Earned
46,13,0,500,2024-12-31 21:10:32,Signup Bonus
47,13,117,0,2024-03-18 01:15:19,Redeemed
48,13,190,0,2024-12-09 09:01:43,Redeemed
49,13,339,0,2024-04-19 17:09:14,Redeemed
50,14,0,500,2024-06-06 22:25:04,Signup Bonus
51,14,1335,2670,2024-03-20 05:21:30,Earned
52,14,391,0,2025-03-05 23:04:12,Redeemed
53,14,1338,2676,2024-08-09 19:42:15,Earned
54,14,1901,3802,2025-02-07 13:03:39,Earned
55,14,210,0,2024-09-21 13:06:35,Redeemed
56,15,0,500,2024-06-06 13:32:04,Signup Bonus
57,15,394,0,2024-08-18 00:41:54,Redeemed
58,16,0,500,2024-10-31 01:13:58,Signup Bonus
59,16,912,1824,2025-03-01 19:25:00,Earned
60,16,390,0,2024-07-17 15:29:07,Redeemed
61,16,386,0,2024-11-04 13:52:56,Redeemed
62,16,253,0,2024-12-22 10:44:29,Redeemed
63,17,0,500,2024-06-05 11:59:17,Signup Bonus
64,17,176,0,2024-04-15 23:32:09,Redeemed
65,17,1388,2776,2024-03-18 20:08:25,Earned
66,17,930,1860,2024-07-20 16:02:55,Earned
67,18,0,500,2024-04-04 15:48:08,Signup Bonus
68,18,470,0,2024-12-31 18:57:09,Redeemed
69,18,1848,3696,2024-07-25 13:10:39,Earned
70,18,379,0,2024-09-11 11:39:29,Redeemed
71,18,367,0,2024-07-17 13:31:24,Redeemed
72,18,665,1330,2024-10-27 02:01:54,Earned
73,19,0,500,2024-11-13 19:57:16,Signup Bonus
74,19,276,0,2025-02-05 01:19:46,Redeemed
75,19,144,0,2024-03-22 18:34:48,Redeemed
76,20,0,500,2025-01-21 20:44:43,Signup Bonus
77,20,239,0,2024-08-27 20:24:26,Redeemed
78,20,1746,3492,2024-10-22 12:32:18,Earned
79,20,326,652,2025-01-15 00:38:46,Earned
80,21,0,500,2024-12-15 20:20:00,Signup Bonus
81,21,299,0,2024-10-03 17:00:12,Redeemed
82,21,209,0,2024-08-17 16:01:02,Redeemed
83,21,1915,3830,2024-04-02 17:28:32,Earned
84,21,426,0,2024-04-11 08:49:39,Redeemed
85,21,454,0,2024-06-07 04:18:04,Redeemed
86,22,0,500,2024-09-29 06:56:24,Signup Bonus
87,22,108,216,2024-03-27 13:45:18,Earned
88,23,0,500,2025-01-22 16:59:41,Signup Bonus
89,23,253,0,2024-11-30 06:46:56,Redeemed
90,23,1847,3694,2024-11-04 00:59:03,Earned
91,23,1312,2624,2024-12-08 15:48:42,Earned
92,23,216,0,2024-04-25 14:18:00,Redeemed
93,24,0,500,2024-05-17 17:12:19,Signup Bonus
94,24,334,0,2024-07-26 11:05:39,Redeemed
95,24,171,0,2024-12-20 01:02:19,Redeemed
96,25,0,500,2024-06-29 23:00:50,Signup Bonus
97,25,416,0,2025-03-03 22:21:36,Redeemed
98,25,410,0,2024-04-19 07:57:32,Redeemed
99,25,436,872,2024-04-15 15:20:22,Earned
100,25,1380,2760,2024-07-14 22:53:36,Earned
101,25,473,0,2025-02-22 03:28:01,Redeemed
102,26,0,500,2024-05-30 11:37:57,Signup Bonus
103,26,140,0,2024-04-03 19:24:20,Redeemed
104,26,273,0,2024-10-08 04:00:14,Redeemed
105,26,263,0,2024-11-29 01:37:47,Redeemed
106,26,461,922,2024-09-30 08:16:02,Earned
107,26,146,0,2024-09-18 17:43:54,Redeemed
108,27,0,500,2024-11-07 15:51:29,Signup Bonus
109,27,1506,3012,2024-06-10 21:36:23,Earned
110,27,1036,2072,2024-12-20 13:56:45,Earned
111,27,289,0,2024-06-16 09:06:37,Redeemed
112,27,1717,3434,2024-04-01 07:35:32,Earned
113,28,0,500,2024-11-04 01:01:48,Signup Bonus
114,28,1334,2668,2024-03-07 15:12:04,Earned
115,29,0,500,2024-07-19 12:58:32,Signup Bonus
116,29,372,0,2024-04-04 07:16:05,Redeemed
117,29,232,0,2024-09-21 10:12:02,Redeemed
118,30,0,500,2024-08-17 07:42:23,Signup Bonus
119,30,239,0,2024-05-03 11:46:09,Redeemed
120,30,1695,3390,2024-04-07 00:47:57,Earned
121,31,0,500,2024-09-02 23:07:18,Signup Bonus
122,31,1316,2632,2025-01-21 19:41:35,Earned
123,31,694,1388,2024-09-30 00:17:04,Earned
124,31,248,0,2024-09-02 13:10:55,Redeemed
125,32,0,500,2024-03-26 07:44:33,Signup Bonus
126,32,217,0,2024-03-28 20:45:33,Redeemed
127,32,394,0,2024-07-30 01:25:16,Redeemed
128,32,876,1752,2024-07-25 13:27:13,Earned
129,33,0,500,2024-12-06 13:35:14,Signup Bonus
130,33,1315,2630,2024-05-17 11:09:48,Earned
131,34,0,500,2024-03-16 10:57:54,Signup Bonus
132,34,465,0,2024-07-19 07:47:12,Redeemed
133,34,825,1650,2024-12-20 14:27:01,Earned
134,34,242,0,2024-04-10 16:31:33,Redeemed
135,34,1552,3104,2024-05-16 04:19:58,Earned
136,35,0,500,2024-07-16 12:36:58,Signup Bonus
137,35,234,0,2024-03-18 17:51:39,Redeemed
138,35,400,800,2024-05-12 22:08:08,Earned
139,35,331,0,2024-06-17 18:02:12,Redeemed
140,35,979,1958,2025-02-18 15:38:57,Earned
141,35,1280,2560,2024-11-17 15:45:27,Earned
142,36,0,500,2024-06-09 10:10:42,Signup Bonus
143,36,462,0,2025-02-01 18:32:17,Redeemed
144,36,1378,2756,2024-05-18 16:05:22,Earned
145,37,0,500,2024-08-27 03:15:35,Signup Bonus
146,37,121,0,2024-05-29 22:02:03,Redeemed
147,37,327,0,2025-02-03 15:17:13,Redeemed
148,37,267,0,2024-08-18 04:57:12,Redeemed
149,37,234,0,2024-08-22 04:01:28,Redeemed
150,38,0,500,2024-03-11 23:55:22,Signup Bonus
151,38,1629,3258,2024-11-20 02:59:13,Earned
152,38,395,0,2024-08-28 22:16:35,Redeemed
153,38,427,0,2024-09-02 02:37:06,Redeemed
154,39,0,500,2024-06-19 10:20:54,Signup Bonus
155,39,425,850,2024-08-20 20:33:44,Earned
156,39,279,558,2024-09-28 17:19:03,Earned
157,40,0,500,2024-05-01 21:57:28,Signup Bonus
158,40,817,1634,2024-09-30 23:38:21,Earned
159,40,473,0,2024-09-03 16:07:50,Redeemed
160,40,1571,3142,2024-03-25 21:30:34,Earned
161,41,0,500,2024-11-26 21:48:14,Signup Bonus
162,41,192,384,2024-11-28 04:27:13,Earned
163,41,260,0,2024-03-19 20:55:54,Redeemed
164,41,1749,3498,2024-06-05 10:02:33,Earned
165,41,467,0,2024-09-16 23:01:53,Redeemed
166,41,412,0,2024-05-05 19:26:19,Redeemed
167,42,0,500,2024-10-02 17:58:11,Signup Bonus
168,42,1912,3824,2025-01-21 05:32:42,Earned
169,43,0,500,2025-01-11 10:44:25,Signup Bonus
170,43,145,0,2024-11-08 07:44:16,Redeemed
171,43,1209,2418,2024-05-22 22:37:30,Earned
172,43,1059,2118,2024-09-23 10:21:20,Earned
173,43,1199,2398,2024-09-17 09:36:10,Earned
174,43,429,0,2025-02-18 02:00:25,Redeemed
175,44,0,500,2024-12-07 00:05:58,Signup Bonus
176,44,483,0,2024-04-30 08:29:10,Redeemed
177,44,398,0,2024-06-08 21:01:33,Redeemed
178,44,408,816,2024-08-03 14:35:50,Earned
179,44,452,0,2024-11-04 01:35:57,Redeemed
180,45,0,500,2024-05-04 16:23:31,Signup Bonus
181,45,155,0,2024-11-09 22:53:28,Redeemed
182,46,0,500,2024-04-16 21:43:26,Signup Bonus
183,46,282,0,2024-10-25 07:05:12,Redeemed
184,46,722,1444,2024-06-12 17:41:26,Earned
185,46,381,0,2024-06-07 21:00:33,Redeemed
186,46,1405,2810,2024-12-31 16:54:06,Earned
187,47,0,500,2024-10-25 12:08:22,Signup Bonus
188,47,1306,2612,2024-07-15 04:06:10,Earned
189,47,314,628,2024-08-30 23:47:22,Earned
190,48,0,500,2024-05-27 03:21:19,Signup Bonus
191,48,468,936,2024-03-28 22:38:50,Earned
192,48,409,0,2024-10-03 08:07:40,Redeemed
193,48,426,852,2024-06-17 19:34:22,Earned
194,49,0,500,2024-05-02 00:13:56,Signup Bonus
195,49,778,1556,2024-10-05 07:44:28,Earned
196,49,457,0,2024-09-23 18:13:38,Redeemed
197,50,0,500,2024-05-03 16:33:41,Signup Bonus
198,50,1428,2856,2025-01-24 15:55:31,Earned
199,50,1804,3608,2024-07-19 23:49:04,Earned
200,50,1217,2434,2024-09-06 19:06:16,Earned
201,50,767,1534,2024-08-30 17:32:18,Earned
202,50,1922,3844,2025-01-29 22:01:35,Earned
203,51,0,500,2024-08-21 19:54:56,Signup Bonus
204,51,463,0,2024-12-08 04:45:02,Redeemed
205,51,355,0,2025-01-03 14:57:56,Redeemed
206,51,1400,2800,2024-12-11 03:48:46,Earned
207,52,0,500,2024-09-06 05:13:08,Signup Bonus
208,52,169,0,2024-05-03 04:36:28,Redeemed
209,52,105,0,2024-09-14 19:53:17,Redeemed
210,52,968,1936,2024-11-12 22:12:51,Earned
211,52,337,674,2025-02-18 07:07:55,Earned
212,53,0,500,2024-06-22 23:08:31,Signup Bonus
213,53,440,0,2024-12-23 14:27:30,Redeemed
214,53,264,0,2024-06-08 10:15:24,Redeemed
215,54,0,500,2024-05-05 21:33:30,Signup Bonus
216,54,277,0,2025-01-27 03:04:25,Redeemed
217,54,126,0,2024-10-20 16:20:21,Redeemed
218,54,328,0,2024-12-13 19:14:06,Redeemed
219,54,556,1112,2024-08-23 05:19:06,Earned
220,54,177,354,2024-09-29 01:07:20,Earned
221,55,0,500,2024-03-26 10:59:29,Signup Bonus
222,55,128,256,2024-12-21 05:20:41,Earned
223,55,396,792,2024-07-31 13:13:06,Earned
224,55,438,0,2024-11-25 16:30:07,Redeemed
225,55,218,0,2024-06-10 23:45:13,Redeemed
226,56,0,500,2024-08-22 15:52:12,Signup Bonus
227,56,165,0,2024-04-14 19:05:37,Redeemed
228,56,331,0,2024-12-29 13:53:56,Redeemed
229,56,424,848,2024-05-29 13:03:34,Earned
230,56,1122,2244,2025-01-30 18:01:17,Earned
231,56,254,0,2024-09-09 18:47:07,Redeemed
232,57,0,500,2025-01-17 09:04:46,Signup Bonus
233,57,329,0,2024-08-18 17:44:28,Redeemed
234,57,207,0,2024-06-15 05:45:37,Redeemed
235,57,1049,2098,2024-03-13 21:04:49,Earned
236,57,340,0,2024-10-10 12:28:43,Redeemed
237,57,161,0,2024-05-27 11:58:42,Redeemed
238,58,0,500,2024-10-23 04:26:46,Signup Bonus
239,58,172,0,2024-09-13 01:44:55,Redeemed
240,58,259,0,2024-03-19 09:28:05,Redeemed
241,58,302,0,2024-04-15 06:31:12,Redeemed
242,58,249,0,2024-12-29 23:44:38,Redeemed
243,58,107,0,2024-07-04 00:27:16,Redeemed
244,59,0,500,2024-10-07 07:12:22,Signup Bonus
245,59,1192,2384,2024-04-30 23:35:50,Earned
246,59,381,0,2024-09-04 12:56:28,Redeemed
247,59,1399,2798,2024-10-16 19:25:41,Earned
248,59,165,330,2024-04-09 09:46:18,Earned
249,59,395,790,2024-09-06 09:46:15,Earned
250,60,0,500,2024-12-04 01:45:19,Signup Bonus
251,60,1502,3004,2025-02-07 12:38:32,Earned
252,60,240,0,2024-04-25 07:00:35,Redeemed
253,61,0,500,2024-07-03 08:52:45,Signup Bonus
254,61,355,0,2024-08-30 14:49:34,Redeemed
255,61,283,566,2024-06-23 05:22:18,Earned
256,61,177,0,2024-03-07 17:49:02,Redeemed
257,61,1089,2178,2024-03-12 03:26:15,Earned
258,62,0,500,2024-05-15 05:45:38,Signup Bonus
259,62,795,1590,2025-02-02 03:15:35,Earned
260,62,108,0,2025-01-01 18:49:17,Redeemed
261,62,1113,2226,2024-07-03 11:16:36,Earned
262,62,361,0,2024-07-03 00:13:10,Redeemed
263,63,0,500,2024-08-25 12:11:45,Signup Bonus
264,63,716,1432,2024-10-28 06:15:44,Earned
265,63,921,1842,2024-09-20 19:47:53,Earned
266,63,182,0,2024-07-26 19:43:31,Redeemed
267,63,491,0,2024-07-06 13:38:14,Redeemed
268,64,0,500,2024-06-06 08:45:11,Signup Bonus
269,64,171,0,2024-05-26 13:32:41,Redeemed
270,64,1701,3402,2024-12-18 02:57:56,Earned
271,64,1010,2020,2025-01-28 15:54:11,Earned
272,65,0,500,2024-07-20 13:01:55,Signup Bonus
273,65,180,360,2024-04-30 14:25:30,Earned
274,65,1183,2366,2024-04-17 01:30:41,Earned
275,65,1484,2968,2024-11-29 05:32:33,Earned
276,66,0,500,2024-09-12 04:19:21,Signup Bonus
277,66,473,946,2024-10-17 18:04:20,Earned
278,66,1060,2120,2024-04-22 05:49:54,Earned
279,66,129,0,2025-02-04 12:17:42,Redeemed
280,67,0,500,2024-07-29 00:28:49,Signup Bonus
281,67,430,0,2024-11-16 22:22:59,Redeemed
282,67,1585,3170,2024-07-19 11:53:25,Earned
283,67,1367,2734,2024-05-09 20:32:54,Earned
284,67,273,0,2024-09-23 04:08:32,Redeemed
285,67,379,758,2024-05-10 20:50:52,Earned
286,68,0,500,2024-04-22 16:22:43,Signup Bonus
287,68,1177,2354,2024-11-04 07:27:52,Earned
288,68,301,0,2024-03-17 00:11:06,Redeemed
289,69,0,500,2025-01-30 22:36:59,Signup Bonus
290,69,726,1452,2025-01-03 05:43:05,Earned
291,69,1997,3994,2025-01-21 23:59:04,Earned
292,69,411,0,2024-07-10 03:11:47,Redeemed
293,69,421,0,2025-02-12 15:00:51,Redeemed
294,69,614,1228,2024-03-19 17:45:34,Earned
295,70,0,500,2024-05-02 22:24:24,Signup Bonus
296,70,123,0,2024-08-15 22:29:15,Redeemed
297,71,0,500,2024-05-04 04:05:20,Signup Bonus
298,71,1135,2270,2024-12-29 06:05:14,Earned
299,72,0,500,2025-01-24 10:46:53,Signup Bonus
300,72,1068,2136,2025-03-02 15:25:09,Earned
301,72,286,0,2024-03-29 18:32:21,Redeemed
302,72,1428,2856,2025-02-19 03:35:58,Earned
303,73,0,500,2024-03-21 21:17:51,Signup Bonus
304,73,605,1210,2024-06-04 18:17:00,Earned
305,73,377,0,2024-09-18 02:56:20,Redeemed
306,73,1832,3664,2024-10-01 01:41:27,Earned
307,74,0,500,2024-08-14 13:19:08,Signup Bonus
308,74,868,1736,2024-03-29 06:51:29,Earned
